Pos	TARGET	HK 
P11	NDUFB 10	0
P12		0
P13	NDUFB 10	0
P14		0
P15	NDUFB 10	0
P16		0
P17	NDUFB 10	0
P18		0
P19	NDUFB 10	0
P20		0
P21	NDUFB 10	0
P22		0
P23	NDUFB 10	0
P24		0
